Codigo,Nombre,DRE,Sis Hidro,CUENCA,RIO,DPTO,PROV,DISTRITO,LONG,LAT,ALT,INICIO,ENT,Q
200324,ALAMOR,1,PACIFICO,CHIRA,ALAMOR,PIURA,SULLANA,LANCONES,80.38333333,4.466666667,130,1995,1SENAMHI,NIV
200406,PUENTE NACARA,1,PACIFICO,PIURA,PIURA,PIURA,MORROPON,CHULUCANAS,80.16972222,5.109722222,119,1965,1SENAMHI,NIV
220510,SONDORILLO,1,RIO MARANON,CHAMAYA,HUANCABAMBA,PIURA,HUANCABAMBA,SONDORILLO,79.4,5.333333333,1690,1997,1SENAMHI,NIV
200202,EL TIGRE,1,PACIFICO,TUMBES,TUMBES,TUMBES,TUMBES,SAN JACINTO,80.46666667,3.716666667,40,1963,CONVENIO,AFO
200416,SAN PEDRO,1,PACIFICO,PIURA,CHARANAL,PIURA,MORROPON,CHULUCANAS,80.17122222,5.109611111,251,1995,CONVENIO,AFO
220813,TABACONES GRANDE,1,RIO MARANON,CHINCHIPE,TABACONAS,CAJAMARCA,SAN IGNACIO,TABACONAS,79.23333333,5.333333333,1800,1970,CONVENIO,AFO
200909,CIRATO,2,RIO MARANON,CHAMAYA,HUAMCABAMBA,CAJAMARCA,SANTA CRUZ,CATACHE,79.109,6.3545,690,2001,1SENAMHI,NIV
220815,COCHALAN,2,RIO MARANON,CHINCHIPE,TABACONAS,CAJAMARCA,SAN IGNACIO,LA COIPA,78.98861111,5.466388889,753.7,2000,1SENAMHI,NIV
220309,CORELLAMA,2,RIO MARANON,LLAUCANO,LLAUCANO,CAJAMARCA,HUALGAYOC,BAMBAMARCA,78.51805556,6.686388889,2512.8,1975,1SENAMHI,AFO
220613,LAJAS,2,RIO MARANON,CHAMAYA,CHOTANO,CAJAMARCA,CHOTA,LAJAS,78.74111111,6.559722222,2148.2,1975,1SENAMHI,NIV
221501,LOS NARANJOS,2,RIO MARANON,UTCUBAMBA,UTCUBAMBA,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,78.43155556,5.755694444,466,1994,1SENAMHI,NIV
221506,MAGUNCHAL,2,RIO MARANON,UTCUBAMBA,MAGUNCHAL,AMAZONAS,UTCUBAMBA,JAMALCA,78.18886111,5.891055556,632,1962,1SENAMHI,AFO
200802,PUCHACA,2,PACIFICO,MOTUPE,LA LECHE,LAMBAYEQUE,FERRENAFE,INCAHUASI,79.4695,6.373638889,355,1965,1SENAMHI,AFO
220307,PUENTE  MAYGASBAMBA,2,RIO MARANON,LLAUCANO,MAYGASBAMBA,CAJAMARCA,HUALGAYOC,BAMBAMARCA,78.52444444,6.674166667,2552.4,1975,1SENAMHI,AFO
220401,PUENTE CHUNCHUCA,2,RIO MARANON,CHAMAYA,CHUNCHUCA,CAJAMARCA,JAEN,JAEN,78.85638889,5.942222222,614.3,1964,1SENAMHI,AFO
201001,BATAN,2,PACIFICO,ZANA,ZANA,LAMBAYEQUE,CHICLAYO,OYOTUN,79.28913889,6.804194444,260,1994,CONVENIO,AFO
201206,LAS PALTAS,2,PACIFICO,JEQUETEPEQUE,PUCLUSH,CAJAMARCA,SAN PABLO,SAN PABLO,78.90177778,7.190833333,761,1994,CONVENIO,AFO
220117,BALSAS,3,RIO MARANON,MARANON,MARANON,CAJAMARCA,CELENDIN,UTCO,78.03333333,6.85,850,2001,1SENAMHI,NIV
201301,CASCABAMBA,3,PACIFICO,JEQUETEPEQUE,CASCABAMBA,CAJAMARCA,CONTUMAZA,CONTUMAZA,78.73333333,7.383333333,3300,1985,1SENAMHI,NIV
201207,CHILETE,3,PACIFICO,JEQUETEPEQUE,CHILETE,CAJAMARCA,CONTUMAZA,CHILETE,78.85,7.216666667,850,1963,1SENAMHI,NIV
201717,HUACAMARCANGA,3,PACIFICO,SANTA,HUACAMARCANGA,LA LIBERTAD,S. DE CHUCO,QUIRUVILCA,78.3,8.1,4000,1971,1SENAMHI,NIV
220204,LAGUNA HUANGACOCHA,3,RIO MARANON,CRISNEJAS,HUANGACOCHA,LA LIBERTAD,S. CARRION,HUAMACHUCO,78.13333333,7.916666667,3920,1971,1SENAMHI,NIV
220213,MASHCON,3,RIO MARANON,CRISNEJAS,CHONTA,CAJAMARCA,CAJAMARCA,CAJAMARCA,78.48333333,7.216666667,2520,1994,1SENAMHI,NIV
220201,PUENTE CRISNEJAS,3,RIO MARANON,CRISNEJAS,CRISNEJAS,CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,78.11325,7.463055556,1885,1994,1SENAMHI,NIV
220203,VADO,3,RIO MARANON,CRISNEJAS,RIO VADO,LA LIBERTAD,S. CARRION,HUAMACHUCO,78.10277778,7.849361111,3030,1971,1SENAMHI,NIV
220205,JESUS TUNEL,3,RIO MARANON,CRISNEJAS,CAJAMARCA,CAJAMARCA,CAJAMARCA,JESUS,78.38844444,7.245694444,2495,1994,CONVENIO,AFO
220206,NAMORA BOCATOMA,3,RIO MARANON,CRISNEJAS,NAMORA,CAJAMARCA,CAJAMARCA,NAMORA,78.29477778,7.242583333,2499,1968,CONVENIO,AFO
203003,ANTAPUCRO,4,PACIFICO,LURIN,LURIN,LIMA,HUAROCHIRI,ANTIOQUIA,76.63333333,12.03333333,1300,1994,1SENAMHI,NIV
202903,AUTISHA,4,PACIFICO,RIMAC,SANTA EULALIA,LIMA,HUAROCHIRI,SAN ANTONIO,76.61111111,11.73811111,2314,1980,1SENAMHI,NIV
202909,CHOSICA,4,PACIFICO,RIMAC,RIMAC,LIMA,LIMA,LURIGANCHO,76.68966667,11.92986111,906,1968,1SENAMHI,AFO
203102,LA CAPILLA,4,PACIFICO,MALA ,MALA,LIMA,CANETE,CALANGO,76.49627778,12.52191667,424,1938,1SENAMHI,AFO
202606,LAGUNA COCHAQUILLO,4,PACIFICO,HUAURA,COCHAQUILLO,LIMA,OYON,OYON ,76.66666667,10.78333333,4400,1967,1SENAMHI,NIV
202601,LAGUNA SURASACA,4,PACIFICO,HUAURA,SURASACA,LIMA,OYON,OYON ,76.78333333,10.51666667,4400,1966,1SENAMHI,NIV
202902,MILLOC,4,PACIFICO,RIMAC,SANTA EULALIA,LIMA,HUAROCHIRI,CARAMPOMA,76.35,11.57127778,4398,1994,1SENAMHI,NIV
202802,OBRAJILLO,4,PACIFICO,CHILLON,CHILLON,LIMA,CANTA,CANTA,76.62194444,11.45277778,2468,1968,1SENAMHI,AFO
202801,PARIACANCHA CH_4,4,PACIFICO,CHILLON,CHILLON,LIMA,CANTA,HUAROS,76.51666667,11.4,3800,1964,1SENAMHI,NIV
202607,PICOY,4,PACIFICO,HUAURA,CHECRAS,LIMA,HUAURA,SANTA LEONOR,76.73333333,10.91666667,2990,1967,1SENAMHI,AFO
202404,PUENTE CAHUA,4,PACIFICO,PATIVILCA,PATIVILCA,LIMA,CAJATAMBO,MANAS,77.35,10.6,1500,1994,1SENAMHI,NIV
202913,PUENTE HUACHIPA,4,PACIFICO,RIMAC,RIMAC,LIMA,LIMA,LURIGANCHO,76.89455556,12.01275,422,1960,1SENAMHI,NIV
202805,PUENTE MAGDALENA,4,PACIFICO,CHILLON,CHILLON,LIMA,CANTA,STA. ROSA QUIVES,76.84722222,11.33611111,2700,2000,1SENAMHI,NIV
203303,PUENTE PACARAN,4,PACIFICO,CANETE,CANETE,LIMA,CANETE,PACARAN,76.05480556,12.86113889,742,1989,1SENAMHI,NIV
202904,RIO BLANCO,4,PACIFICO,RIMAC,RIMAC,LIMA,HUAROCHIRI,CHICLA,76.25888889,11.73452778,3550,1965,1SENAMHI,NIV
230902,RIO PALLANGA,4,RIO UCAYALI,MANTARO,MANTARO,JUNIN,YAULI,STA. BARBARA DE CARHUACAYAN,76.31666667,11.16666667,4230,1968,1SENAMHI,NIV
230908,RUMICHACA,4,RIO UCAYALI,MANTARO,RUMICHACA,JUNIN,YAULI,YAULI,76.1,11.7,4250,1968,1SENAMHI,NIV
202905,SAN MATEO,4,PACIFICO,RIMAC,RIMAC,LIMA,HUAROCHIRI,SAN MATEO,76.301,11.76016667,3182,1968,1SENAMHI,NIV
202938,SANTA EULALIA_PUENTE PALOMAR,4,PACIFICO,RIMAC,SANTA EULALIA,LIMA,HUAROCHIRI,STA. EULALIA,76.66683333,11.91969444,954,1987,1SENAMHI,NIV
202702,SANTO DOMINGO,4,PACIFICO,CHANCAY_HUARAL,CHANCAY,LIMA,HUARAL,HUARAL,77.05,11.38333333,697,1921,1SENAMHI,AFO
202608,SAYAN,4,PACIFICO,HUAURA,HUAURA,LIMA,HUAURA,SAYAN,77.18333333,11.11666667,650,1967,1SENAMHI,AFO
202901,SHEQUE,4,PACIFICO,RIMAC,SANTA EULALIA,LIMA,HUAROCHIRI,HUANZA,76.49869444,11.66661111,3214,1989,1SENAMHI,NIV
203302,SOCSI,4,PACIFICO,CANETE,CANETE,LIMA,CANETE,LUNAHUANA,76.19452778,13.02830556,330,1965,CONVENIO,AFO
